PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
AARON JONES,RB,65.3,11.2,0.0,0.0,3.0,0.1,24.0,15.0,0.3,66.9,47.0,190.6,0.0,0.0,68.8,14.2,46.0,241.6,65.0,9.6,6.0,98.0,51.0,2.0,408.0,63.0,255.0,5.0,1138.0,8.2,MIN,6.0,82.0,8,6,14,1,64.0,66
AARON RODGERS,QB,218.6,15.7,1.6,229.2,0.0,0.0,0.0,1.3,0.0,6.3,124.0,267.6,28.0,3897.0,200.5,15.7,118.0,267.6,191.0,41.1,11.0,307.0,0.0,0.0,0.0,203.0,22.0,0.0,107.0,44.0,PIT,11.0,320.0,6,4,13,1,181.5,197
ADAM THIELEN,WR,176.9,9.2,0.0,0.0,4.8,0.5,61.5,0.0,0.0,0.0,116.0,91.5,0.0,0.0,157.4,13.9,93.0,139.5,155.0,24.9,10.0,244.0,48.0,5.0,615.0,172.0,0.0,0.0,0.0,26.7,CAR,10.0,266.0,6,15,2,3,183.0,151
ADAM TRAUTMAN,TE,384.0,1.8,0.0,0.0,0.8,0.1,11.1,0.0,0.0,0.0,374.0,30.8,0.0,0.0,391.0,2.6,385.0,43.8,510.0,4.2,16.0,394.0,13.0,2.0,188.0,493.0,0.0,0.0,0.0,6.5,DEN,16.0,394.0,1,3,2,2,500.0,500
ADONAI MITCHELL,WR,216.1,1.8,0.0,0.0,1.4,0.0,18.4,0.2,0.0,0.4,172.0,30.8,0.0,0.0,223.1,3.2,164.0,53.8,220.0,28.5,11.0,332.0,23.0,0.0,312.0,214.0,4.0,0.0,6.0,24.6,IND,11.0,326.0,23,25,20,4,500.0,500
AIDAN OCONNELL,QB,339.8,10.8,0.9,179.1,0.0,0.0,0.0,2.3,0.1,3.3,307.0,97.5,8.0,1612.0,327.2,10.8,307.0,97.5,423.0,15.4,15.0,346.0,0.0,0.0,0.0,427.0,21.0,1.0,30.0,24.6,LV,15.0,385.0,9,12,4,2,500.0,500
AJ BARNER,TE,322.2,2.9,0.0,0.0,1.8,0.2,14.4,0.0,0.0,0.0,242.0,48.5,0.0,0.0,328.3,4.6,258.0,78.5,359.0,33.9,14.0,381.0,30.0,4.0,245.0,356.0,0.0,0.0,0.0,34.4,SEA,14.0,381.0,30,32,8,2,500.0,500
AJ BROWN,WR,16.9,11.5,0.0,0.0,5.2,0.5,83.0,0.0,0.0,0.0,9.0,149.9,0.0,0.0,18.2,16.7,11.0,216.9,17.0,4.8,3.0,27.0,67.0,7.0,1079.0,16.0,0.0,0.0,0.0,4.0,PHI,3.0,31.0,4,4,9,1,21.5,15
AJ DILLON,RB,281.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,305.6,0.0,225.0,0.0,338.0,43.8,14.0,364.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,42.3,PHI,13.0,392.0,1,5,7,3,500.0,500
ALEC INGOLD,RB,292.0,1.0,0.0,0.0,0.7,0.0,6.4,0.7,0.1,1.1,176.0,15.3,0.0,0.0,311.8,1.8,270.0,26.3,422.0,43.2,15.0,393.0,11.0,0.0,96.0,410.0,10.0,1.0,17.0,64.4,MIA,15.0,365.0,5,1,26,5,500.0,500
ALEC PIERCE,WR,187.9,7.8,0.0,0.0,2.3,0.4,51.5,0.0,0.0,0.0,149.0,124.4,0.0,0.0,204.4,10.1,167.0,161.4,203.0,18.5,11.0,263.0,37.0,7.0,824.0,181.0,0.0,0.0,0.0,18.4,IND,10.0,258.0,23,25,20,3,500.0,500
ALEXANDER MATTISON,RB,282.0,7.2,0.0,0.0,2.6,0.1,21.0,9.4,0.3,30.0,216.0,101.4,0.0,0.0,296.4,9.8,238.0,137.4,295.0,24.6,13.0,382.0,36.0,1.0,294.0,284.0,132.0,4.0,420.0,25.0,MIA,13.0,353.0,5,1,26,2,500.0,500
