PLAYER NAME,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SACK,AVG_SAFE,BLK KICK,DEF TD,FAN PTS,FUMR,INT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PTS VS.,RET TD,SACK,SAFE,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,STANDARD_ADP,PPR_ADP
DENVER BRONCOS,0.0,0.3,9.9,0.5,0.8,0.0,0.0,3.5,0.1,0,5,179,9,15,1.2,1.0,1.0,0.6,1.0,4.0,0,0,63,2,DEN,10,6,22,158.5,84
PHILADELPHIA EAGLES,0.0,0.1,7.5,0.7,0.7,0.0,0.0,2.3,0.0,0,1,135,13,13,2.8,2.0,2.0,1.1,1.0,6.0,0,0,41,0,PHI,13,16,9,162.5,119
BALTIMORE RAVENS,0.0,0.1,6.7,0.3,0.7,0.0,0.0,3.0,0.0,0,2,120,5,12,4.2,2.0,3.0,1.6,1.0,9.0,0,0,54,0,BAL,4,24,1,193.0,108
PITTSBURGH STEELERS,0.0,0.1,8.1,0.9,0.9,0.0,0.0,2.2,0.0,0,1,146,16,17,4.2,1.0,4.0,2.0,1.0,9.0,0,0,40,0,PIT,9,1,30,174.0,83
MINNESOTA VIKINGS,0.0,0.2,9.0,0.5,1.3,0.0,0.0,2.7,0.0,0,3,162,9,24,5.0,3.0,5.0,1.4,2.0,9.0,0,0,49,0,MIN,6,8,10,186.0,107
HOUSTON TEXANS,0.0,0.2,7.7,0.5,1.1,0.0,0.0,2.7,0.1,0,3,139,9,19,6.1,3.0,6.0,1.3,2.0,9.0,0,0,49,1,HOU,18,13,17,194.0,81
BUFFALO BILLS,0.0,0.2,7.4,0.9,0.9,0.0,0.0,2.2,0.1,0,3,133,16,16,8.1,2.0,7.0,2.7,2.0,14.0,0,0,39,1,BUF,19,19,12,500.0,148
KANSAS CITY CHIEFS,0.0,0.1,5.9,0.4,0.7,0.0,0.0,2.2,0.0,0,1,106,7,13,8.7,3.0,8.0,3.4,3.0,17.0,0,0,39,0,KC,25,32,5,500.0,181
DETROIT LIONS,0.0,0.1,6.8,0.4,0.9,0.0,0.0,2.1,0.0,0,1,123,8,16,9.7,7.0,9.0,2.0,3.0,14.0,0,0,37,0,DET,17,9,26,500.0,129
LOS ANGELES CHARGERS,0.0,0.1,7.1,0.3,0.8,0.0,0.0,2.6,0.0,0,1,128,6,15,11.0,7.0,10.0,2.4,3.0,15.0,0,0,46,0,LAC,16,14,16,500.0,500
SEATTLE SEAHAWKS,0.0,0.2,7.6,0.3,0.7,0.0,0.0,2.5,0.1,0,4,136,5,13,11.8,7.0,11.0,2.5,3.0,17.0,0,0,45,1,SEA,30,31,20,500.0,133
LOS ANGELES RAMS,0.0,0.2,6.6,0.4,0.7,0.0,0.0,2.1,0.1,0,3,118,7,13,11.9,7.0,12.0,2.2,3.0,17.0,0,0,38,1,LAR,21,25,13,500.0,500
GREEN BAY PACKERS,0.0,0.1,8.2,0.8,0.9,0.0,0.0,2.5,0.0,0,1,148,14,17,12.7,7.0,13.0,3.0,3.0,18.0,0,0,45,0,GB,12,18,8,500.0,189
SAN FRANCISCO 49ERS,0.0,0.1,4.7,0.3,0.6,0.0,0.0,2.1,0.0,0,1,84,6,11,14.3,6.0,14.0,3.1,3.0,20.0,0,0,37,0,SF,28,21,28,500.0,179
NEW YORK JETS,0.0,0.0,5.3,0.6,0.4,0.0,0.0,2.4,0.0,0,0,95,10,7,14.5,8.0,15.0,3.7,4.0,24.0,0,0,43,0,NYJ,26,10,31,500.0,175
DALLAS COWBOYS,0.0,0.1,6.2,0.5,0.7,0.0,0.0,2.9,0.0,0,1,111,9,13,17.1,8.0,16.0,4.6,4.0,29.0,0,0,52,0,DAL,7,4,19,500.0,188
