PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,STANDARD_ADP,PPR_ADP
BRANDON AUBREY,0,4,8,14,14,0.0,0.2,0.5,0.8,0.8,11.3,1.8,1.8,192,1.3,1.0,1.0,0.6,1.0,3.0,DAL,30,30,25,29,9,0,0,0,0,0,0,188.5,97
JAKE BATES,0,3,10,7,6,0.0,0.2,0.6,0.4,0.4,9.5,3.9,3.8,161,3.0,1.0,2.0,1.6,1.0,9.0,DET,67,64,20,15,24,0,0,0,0,0,0,500.0,94
CAMERON DICKER,1,9,9,11,9,0.1,0.5,0.5,0.6,0.5,10.5,2.1,1.9,179,3.1,1.0,3.0,1.8,1.0,11.0,LAC,36,33,12,21,5,0,0,0,0,0,0,500.0,112
WIL LUTZ,0,2,13,11,5,0.0,0.1,0.8,0.6,0.3,9.4,2.7,2.7,160,6.1,3.0,4.0,3.0,2.0,15.0,DEN,46,46,10,2,28,0,0,0,0,0,0,500.0,500
CHASE MCLAUGHLIN,0,11,7,4,8,0.0,0.6,0.4,0.2,0.5,9.6,3.3,3.2,164,7.0,3.0,5.0,2.1,2.0,11.0,TB,56,54,1,11,4,0,0,0,0,0,0,500.0,105
HARRISON BUTKER,1,7,7,4,2,0.1,0.5,0.5,0.3,0.2,7.7,2.4,2.2,100,7.7,4.0,6.0,2.0,2.0,12.0,KC,31,29,16,3,29,0,0,0,0,0,0,500.0,147
KAIMI FAIRBAIRN,0,8,11,4,13,0.0,0.5,0.6,0.2,0.8,10.1,2.1,2.0,172,7.7,3.0,7.0,3.5,2.0,16.0,HOU,36,34,14,7,21,0,0,0,0,0,0,500.0,172
CHRIS BOSWELL,0,9,12,7,13,0.0,0.5,0.7,0.4,0.8,11.2,2.1,2.1,191,8.5,2.0,8.0,4.4,2.0,21.0,PIT,35,35,29,13,32,0,0,0,0,0,0,500.0,137
EVAN MCPHERSON,0,6,4,3,3,0.0,0.5,0.3,0.3,0.3,7.8,3.2,3.1,94,9.3,5.0,9.0,2.8,2.0,15.0,CIN,38,37,30,20,27,0,0,0,0,0,0,500.0,186
TYLER BASS,0,6,7,7,4,0.0,0.4,0.4,0.4,0.2,8.6,3.8,3.5,146,9.6,2.0,10.0,3.0,2.0,14.0,BUF,64,59,3,6,11,0,0,0,0,0,0,500.0,149
JAKE ELLIOTT,0,9,10,8,1,0.0,0.5,0.6,0.5,0.1,8.3,2.8,2.8,141,11.3,5.0,11.0,3.0,3.0,19.0,PHI,48,47,5,5,19,0,0,0,0,0,0,500.0,140
MATT GAY,0,9,12,7,3,0.0,0.6,0.8,0.4,0.2,8.7,2.1,2.1,139,11.8,3.0,12.0,4.9,3.0,19.0,WAS,33,33,11,10,18,0,0,0,0,0,0,500.0,173
JASON SANDERS,0,7,13,5,12,0.0,0.4,0.8,0.3,0.7,9.8,1.6,1.5,166,13.1,8.0,13.0,3.4,3.0,23.0,MIA,28,26,9,14,13,0,0,0,0,0,0,500.0,146
YOUNGHOE KOO,0,7,5,7,6,0.0,0.5,0.4,0.5,0.4,8.6,1.9,1.9,120,14.2,9.0,14.0,3.0,3.0,21.0,ATL,26,26,7,24,1,0,0,0,0,0,0,500.0,193
JOSHUA KARTY,0,10,9,4,6,0.0,0.6,0.5,0.2,0.4,7.9,2.1,1.9,135,15.4,11.0,15.0,1.9,3.0,19.0,LAR,36,32,13,19,7,0,0,0,0,0,0,500.0,500
TYLER LOOP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.3,8.0,16.0,5.2,3.0,27.0,BAL,0,0,32,32,26,0,0,0,0,0,0,500.0,154
WILL REICHARD,0,5,6,5,8,0.0,0.4,0.5,0.4,0.6,10.1,2.9,2.9,131,16.6,6.0,17.0,4.3,4.0,26.0,MIN,38,38,4,4,20,0,0,0,0,0,0,500.0,500
DANIEL CARLSON,0,10,11,6,7,0.0,0.6,0.6,0.4,0.4,8.5,1.5,1.4,145,18.5,12.0,18.0,3.3,4.0,26.0,LV,25,23,27,30,10,0,0,0,0,0,0,500.0,500
JASON MYERS,0,4,6,7,9,0.0,0.2,0.4,0.4,0.5,8.2,2.4,2.2,140,20.3,17.0,19.0,2.4,4.0,24.0,SEA,40,37,15,8,23,0,0,0,0,0,0,500.0,500
JAKE MOODY,0,9,5,6,4,0.0,0.6,0.4,0.4,0.3,8.4,2.4,2.3,118,19.1,10.0,20.0,4.1,4.0,27.0,SF,33,32,21,23,14,0,0,0,0,0,0,500.0,500
BRANDON MCMANUS,0,5,9,3,3,0.0,0.5,0.8,0.3,0.3,9.0,2.7,2.7,99,19.2,8.0,21.0,4.4,4.0,28.0,GB,30,30,18,17,17,0,0,0,0,0,0,500.0,500
CAM LITTLE,0,8,6,8,5,0.0,0.5,0.4,0.5,0.3,7.4,1.6,1.6,126,21.5,16.0,22.0,3.0,4.0,31.0,JAC,27,27,23,31,2,0,0,0,0,0,0,500.0,500
CAIRO SANTOS,0,4,4,5,8,0.0,0.2,0.2,0.3,0.5,6.4,1.5,1.5,109,23.1,15.0,23.0,3.1,4.0,29.0,CHI,26,25,24,12,31,0,0,0,0,0,0,500.0,177
BLAKE GRUPE,0,4,10,7,6,0.0,0.2,0.6,0.4,0.4,7.7,1.9,1.8,131,24.9,19.0,24.0,2.8,4.0,31.0,NO,33,31,2,9,8,0,0,0,0,0,0,500.0,500
GRAHAM GANO,0,2,1,4,2,0.0,0.2,0.1,0.4,0.2,4.5,1.4,1.4,50,25.7,21.0,25.0,3.0,4.0,31.0,NYG,15,15,26,22,22,0,0,0,0,0,0,500.0,500
CHAD RYLAND,0,6,11,7,4,0.0,0.5,0.8,0.5,0.3,9.6,2.1,2.0,125,23.9,15.0,26.0,4.3,5.0,31.0,ARI,27,26,17,27,3,0,0,0,0,0,0,500.0,500
ANDRES BORREGALES,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.2,21.0,27.0,3.4,5.0,35.0,NE,0,0,8,1,30,0,0,0,0,0,0,500.0,500
SPENCER SHRADER,0,2,1,2,0,0.0,0.5,0.3,0.5,0.0,6.5,2.3,2.3,26,26.9,21.0,28.0,2.7,5.0,31.0,IND,9,9,22,25,12,0,0,0,0,0,0,500.0,500
JOEY SLYE,0,5,10,5,6,0.0,0.3,0.6,0.3,0.4,7.1,1.5,1.5,120,28.4,25.0,29.0,2.2,5.0,33.0,TEN,26,25,19,18,16,0,0,0,0,0,0,500.0,500
DUSTIN HOPKINS,0,3,6,5,4,0.0,0.2,0.4,0.3,0.3,5.3,1.3,1.1,84,30.0,24.0,30.0,2.3,5.0,32.0,CLE,20,17,31,26,25,0,0,0,0,0,0,500.0,500
MATTHEW WRIGHT,0,3,8,3,1,0.0,0.6,1.6,0.6,0.2,11.2,1.2,1.2,56,29.9,25.0,31.0,2.6,5.0,36.0,CAR,6,6,6,16,6,0,0,0,0,0,0,500.0,500
EDDY PINEIRO,0,7,8,6,1,0.0,0.4,0.5,0.4,0.1,6.3,2.1,1.9,107,21.2,14.0,32.0,3.7,5.0,26.0,FA,35,33,33,33,33,0,0,0,0,0,0,500.0,500
JUSTIN TUCKER,0,4,7,5,6,0.0,0.2,0.4,0.3,0.4,8.4,3.6,3.5,143,24.1,17.0,33.0,5.9,6.0,35.0,FA,62,60,33,33,33,0,0,0,0,0,0,500.0,500
MATT PRATER,0,1,1,3,1,0.0,0.3,0.3,0.8,0.3,8.3,2.5,2.5,33,25.0,18.0,34.0,6.0,6.0,38.0,FA,10,10,33,33,33,0,0,0,0,0,0,500.0,500
HARRISON MEVIS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31.4,29.0,35.0,2.1,6.0,36.0,NYJ,0,0,28,28,15,0,0,0,0,0,0,500.0,500
NICK FOLK,0,5,2,8,6,0.0,0.4,0.1,0.6,0.4,7.7,1.8,1.8,108,30.2,24.0,36.0,4.5,6.0,39.0,NYJ,25,25,28,28,15,0,0,0,0,0,0,500.0,500
GREG ZUERLEIN,0,4,4,1,0,0.0,0.5,0.5,0.1,0.0,5.1,1.8,1.6,41,29.0,25.0,37.0,2.9,6.0,32.0,FA,14,13,33,33,33,0,0,0,0,0,0,500.0,500
RYAN FITZGERALD,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.6,30.0,38.0,2.6,6.0,37.0,CAR,0,0,6,16,6,0,0,0,0,0,0,500.0,500
JOHN PARKER ROMO,0,3,3,4,1,0.0,0.8,0.8,1.0,0.3,11.5,2.0,1.8,46,34.6,32.0,39.0,1.9,6.0,37.0,NE,8,7,8,1,30,0,0,0,0,0,0,500.0,500
CADEN DAVIS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.7,32.0,40.0,0.9,6.0,34.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
ANDERS CARLSON,0,3,2,5,3,0.0,0.4,0.3,0.7,0.4,8.9,2.1,1.7,62,31.5,29.0,41.0,2.5,6.0,34.0,FA,15,12,33,33,33,0,0,0,0,0,0,500.0,500
GREG JOSEPH,0,5,5,5,1,0.0,0.6,0.6,0.6,0.1,8.3,1.4,1.4,66,34.7,34.0,42.0,0.9,6.0,36.0,SF,11,11,21,23,14,0,0,0,0,0,0,500.0,500
BAILEY HALE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.0,35.0,43.0,2.0,7.0,39.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
BEN SAULS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.5,37.0,44.0,0.5,7.0,38.0,PIT,0,0,29,13,32,0,0,0,0,0,0,500.0,500
JUDE MCATAMNEY,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4,43.5,36.0,45.0,7.5,7.0,51.0,NYG,1,1,26,22,22,0,0,0,0,0,0,500.0,500
