PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP,AVG_TGT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,TGT,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_SACK,AVG_YDS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,SACK,YDS,AVG_BLK KICK,AVG_DEF TD,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SAFE,BLK KICK,DEF TD,FUMR,INT,PTS VS.,RET TD,SAFE,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_XPA,AVG_XPM,XPA,XPM
AARON JONES,RB,65.3,11.2,0.0,0.0,3.0,0.1,24.0,15.0,0.3,66.9,47.0,190.6,0.0,0.0,68.8,14.2,46.0,241.6,65.0,9.6,6.0,98.0,51.0,2.0,408.0,63.0,255.0,5.0,1138.0,8.2,MIN,6.0,82.0,8,6,14,1.0,64.0,66,3.6,25.2,18.0,25.0,3.0,4.0,31.0,23.8,16.0,22.0,3.0,4.0,33.0,62.0,6.0,6.0,63.0,6.0,6.0,75.0,42.0,62.7,24.0,66.7,12.0,70.6,17.0,19.5,7.0,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARON RODGERS,QB,218.6,15.7,1.6,229.2,0.0,0.0,0.0,1.3,0.0,6.3,124.0,267.6,28.0,3897.0,200.5,15.7,118.0,267.6,191.0,41.1,11.0,307.0,0.0,0.0,0.0,203.0,22.0,0.0,107.0,44.0,PIT,11.0,320.0,6,4,13,1.0,181.5,197,,27.3,19.0,28.0,2.3,5.0,31.0,,,,,,,,6.0,38.0,25.0,6.0,38.0,25.0,2.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,21.6,0.6,63%,2.4,229.2,584.0,368.0,11.0,63%,40.0,3897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM THIELEN,WR,176.9,9.2,0.0,0.0,4.8,0.5,61.5,0.0,0.0,0.0,116.0,91.5,0.0,0.0,157.4,13.9,93.0,139.5,155.0,24.9,10.0,244.0,48.0,5.0,615.0,172.0,0.0,0.0,0.0,26.7,CAR,10.0,266.0,6,15,2,3.0,183.0,151,6.2,66.4,47.0,66.0,8.8,7.0,103.0,62.5,42.0,62.0,8.7,6.0,100.0,62.0,11.0,11.0,56.0,11.0,11.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.7,2.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM TRAUTMAN,TE,384.0,1.8,0.0,0.0,0.8,0.1,11.1,0.0,0.0,0.0,374.0,30.8,0.0,0.0,391.0,2.6,385.0,43.8,510.0,4.2,16.0,394.0,13.0,2.0,188.0,493.0,0.0,0.0,0.0,6.5,DEN,16.0,394.0,1,3,2,2.0,500.0,500,1.3,61.2,55.0,68.0,4.1,8.0,67.0,65.8,60.0,69.0,5.0,8.0,74.0,22.0,6.0,88.0,13.0,0.0,88.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.1,1.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADONAI MITCHELL,WR,216.1,1.8,0.0,0.0,1.4,0.0,18.4,0.2,0.0,0.4,172.0,30.8,0.0,0.0,223.1,3.2,164.0,53.8,220.0,28.5,11.0,332.0,23.0,0.0,312.0,214.0,4.0,0.0,6.0,24.6,IND,11.0,326.0,23,25,20,4.0,500.0,500,3.2,78.5,65.0,78.0,8.3,7.0,120.0,82.4,64.0,80.0,9.6,7.0,124.0,55.0,0.0,88.0,0.0,0.0,88.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,8.9,2.0,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDAN OCONNELL,QB,339.8,10.8,0.9,179.1,0.0,0.0,0.0,2.3,0.1,3.3,307.0,97.5,8.0,1612.0,327.2,10.8,307.0,97.5,423.0,15.4,15.0,346.0,0.0,0.0,0.0,427.0,21.0,1.0,30.0,24.6,LV,15.0,385.0,9,12,4,2.0,500.0,500,,49.6,33.0,45.0,10.5,7.0,73.0,,,,,,,,0.0,75.0,13.0,0.0,75.0,13.0,2.0,3.4,1.0,2.9,1.0,5.0,0.0,0.0,0.0,0.0,27.0,17.1,0.4,63%,1.1,179.1,243.0,154.0,4.0,63%,10.0,1612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ BARNER,TE,322.2,2.9,0.0,0.0,1.8,0.2,14.4,0.0,0.0,0.0,242.0,48.5,0.0,0.0,328.3,4.6,258.0,78.5,359.0,33.9,14.0,381.0,30.0,4.0,245.0,356.0,0.0,0.0,0.0,34.4,SEA,14.0,381.0,30,32,8,2.0,500.0,500,2.2,43.0,29.0,47.0,6.3,6.0,57.0,43.7,31.0,47.0,6.7,6.0,57.0,38.0,0.0,81.0,19.0,0.0,81.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.2,4.0,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ BROWN,WR,16.9,11.5,0.0,0.0,5.2,0.5,83.0,0.0,0.0,0.0,9.0,149.9,0.0,0.0,18.2,16.7,11.0,216.9,17.0,4.8,3.0,27.0,67.0,7.0,1079.0,16.0,0.0,0.0,0.0,4.0,PHI,3.0,31.0,4,4,9,1.0,21.5,15,7.5,8.9,5.0,9.0,1.6,2.0,14.0,11.5,8.0,10.0,2.2,3.0,15.0,97.0,8.0,8.0,54.0,8.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.7,4.0,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ DILLON,RB,281.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,305.6,0.0,225.0,0.0,338.0,43.8,14.0,364.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,42.3,PHI,13.0,392.0,1,5,7,3.0,500.0,500,0.0,83.9,63.0,102.0,13.3,9.0,116.0,88.9,63.0,102.0,14.3,9.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEC INGOLD,RB,292.0,1.0,0.0,0.0,0.7,0.0,6.4,0.7,0.1,1.1,176.0,15.3,0.0,0.0,311.8,1.8,270.0,26.3,422.0,43.2,15.0,393.0,11.0,0.0,96.0,410.0,10.0,1.0,17.0,64.4,MIA,15.0,365.0,5,1,26,5.0,500.0,500,0.8,100.6,81.0,128.0,13.4,10.0,120.0,89.0,76.0,125.0,13.4,10.0,114.0,12.0,0.0,93.0,0.0,0.0,93.0,0.0,2.0,2.9,1.0,2.6,1.0,5.6,1.0,1.2,1.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
