PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP
AARON JONES,9.5,2.7,0.1,21.2,12.9,0.2,59.6,3.9,104.9,21.5,15.0,20.0,3.4,4.0,31.0,12.3,134.9,18.7,10,18,2.9,4,27,30.0,1.0,233.0,142.0,2.0,656.0,MIN,43.0,26,16,30,10,20,40,10,20,50,1,57.5,52
ADAM PRENTICE,0.0,0.2,0.0,0.9,0.2,0.0,0.9,0.2,0.4,156.5,151.0,173.0,5.5,11.0,162.0,0.2,2.4,150.0,144,169,6.0,11,156,2.0,0.0,12.0,2.0,0.0,12.0,NO,3.0,27,20,31,0,100,0,0,100,0,0,500.0,500
AJ DILLON,6.4,1.5,0.0,14.9,11.9,0.1,40.9,1.9,95.6,64.7,48.0,68.0,8.1,7.0,85.0,7.8,117.6,64.9,48,68,8.5,7,86,22.0,0.0,223.0,178.0,2.0,613.0,GB,28.0,29,29,15,0,27,33,0,33,20,3,500.0,500
ALEC INGOLD,0.7,0.8,0.0,7.0,0.1,0.0,0.0,0.9,11.9,148.8,143.0,157.0,4.8,11.0,154.0,1.5,24.9,139.5,128,150,8.4,10,148,13.0,0.0,119.0,2.0,0.0,0.0,MIA,16.0,6,5,19,0,100,0,0,100,0,5,500.0,500
ALEXANDER MATTISON,6.5,1.9,0.2,12.0,11.3,0.0,43.8,2.8,103.2,60.8,51.0,62.0,4.8,7.0,76.0,8.3,133.2,61.7,51,62,5.3,7,82,30.0,3.0,192.0,180.0,0.0,700.0,LV,44.0,9,19,3,0,33,33,0,33,40,2,500.0,500
ALVIN KAMARA,12.2,5.8,0.1,35.8,13.8,0.4,53.4,6.6,158.0,21.5,16.0,21.0,4.4,4.0,32.0,17.9,233.0,14.2,6,14,4.3,3,24,75.0,1.0,466.0,180.0,5.0,694.0,NO,86.0,27,20,31,15,8,77,23,0,85,1,50.0,34
AMEER ABDULLAH,1.3,1.1,0.0,7.7,0.9,0.0,5.2,1.4,22.0,108.4,93.0,113.0,10.2,9.0,125.0,2.4,41.0,101.1,86,114,12.8,9,125,19.0,0.0,131.0,15.0,0.0,89.0,LV,24.0,9,19,3,0,94,0,0,94,0,4,500.0,500
ANTONIO GIBSON,5.0,3.0,0.1,24.3,4.1,0.1,16.6,3.7,79.4,48.6,37.0,48.0,4.6,6.0,63.0,8.0,127.4,43.7,30,43,5.2,6,56,48.0,2.0,389.0,65.0,1.0,265.0,NE,59.0,8,10,7,0,47,13,0,33,20,2,152.0,158
AUDRIC ESTIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7,51.0,61.0,8.0,7.0,90.0,0.0,0.0,65.1,51,64,8.8,7,98,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,4,200.0,500
AUSTIN EKELER,9.6,3.6,0.1,31.1,12.8,0.4,44.9,5.3,134.4,38.1,28.0,37.0,4.9,5.0,52.0,13.2,185.4,33.1,21,33,6.1,5,50,51.0,1.0,436.0,179.0,5.0,628.0,WAS,74.0,16,9,28,15,23,46,15,23,46,2,89.5,96
AVERY WILLIAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,100.0,139.0,15.3,10.0,138.0,0.0,0.0,116.5,96,134,16.2,10,138,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,7,15,2,0,0,0,0,0,0,3,500.0,500
BIJAN ROBINSON,11.1,3.4,0.2,28.6,12.6,0.2,57.4,5.1,188.3,2.5,1.0,2.0,0.8,1.0,5.0,14.5,246.3,2.4,1,2,0.6,1,4,58.0,4.0,487.0,214.0,4.0,976.0,ATL,86.0,7,15,2,6,19,63,6,19,75,1,6.0,6
BLAKE CORUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,30.0,41.0,4.6,5.0,59.0,0.0,0.0,43.3,34,42,4.5,6,62,0.0,0.0,0.0,0.0,0.0,0.0,LAR,0.0,1,2,14,0,0,0,0,0,0,2,113.0,119
BLAKE WATSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,75.0,110.0,11.9,9.0,114.0,0.0,0.0,97.1,74,111,12.8,9,114,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,5,500.0,500
BOSTON SCOTT,1.0,0.3,0.0,4.3,1.7,0.0,7.2,0.5,11.8,118.0,110.0,123.0,8.0,10.0,131.0,1.3,15.8,116.0,104,122,9.2,10,131,4.0,0.0,52.0,20.0,0.0,86.0,LAR,6.0,1,2,14,0,100,0,0,100,0,0,500.0,500
BRAELON ALLEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,47.0,60.0,7.9,7.0,89.0,0.0,0.0,65.0,47,63,8.5,7,99,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,22,24,16,0,0,0,0,0,0,2,185.5,500
BREECE HALL,12.6,4.5,0.2,34.8,13.1,0.3,58.5,5.6,214.5,2.8,1.0,3.0,0.8,1.0,5.0,17.1,290.5,2.6,1,3,0.6,1,4,76.0,4.0,591.0,223.0,5.0,994.0,NYJ,95.0,22,24,16,13,19,50,25,19,56,1,6.0,4
BRIAN ROBINSON,10.8,2.4,0.3,24.5,11.9,0.3,48.9,2.9,162.1,27.7,21.0,27.0,3.6,4.0,38.0,13.2,198.1,29.8,21,30,4.2,5,38,36.0,4.0,368.0,178.0,5.0,733.0,WAS,43.0,16,9,28,14,0,57,14,7,57,1,100.5,80
CAM AKERS,5.1,1.6,0.0,10.0,8.6,0.3,23.9,1.7,35.7,90.6,78.0,95.0,6.2,8.0,104.0,6.7,46.7,94.6,78,97,6.5,8,108,11.0,0.0,70.0,60.0,2.0,167.0,HOU,12.0,2,3,21,0,43,29,0,29,0,0,500.0,500
CARTAVIOUS BIGSBY,1.4,0.1,0.0,0.4,3.1,0.1,8.3,0.3,21.8,68.4,48.0,70.0,7.1,7.0,89.0,1.4,22.8,71.9,52,71,8.1,7,96,1.0,0.0,6.0,50.0,2.0,132.0,JAC,4.0,30,27,26,0,86,0,0,93,0,3,500.0,500
CHASE BROWN,3.3,1.2,0.1,13.0,3.7,0.0,14.9,1.3,39.5,39.3,32.0,40.0,4.1,5.0,51.0,4.5,53.5,37.4,27,37,5.1,5,51,14.0,1.0,156.0,44.0,0.0,179.0,CIN,15.0,24,17,29,0,73,9,0,73,9,2,120.5,137
CHASE EDMONDS,2.0,1.1,0.0,6.2,3.8,0.0,13.5,1.3,25.7,88.5,72.0,89.0,5.7,8.0,100.0,3.1,39.7,85.7,68,88,5.4,8,97,14.0,0.0,81.0,49.0,0.0,176.0,TB,17.0,28,30,9,0,83,0,0,83,0,3,500.0,500
