,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
ADAM TRAUTMAN,2.3,1.3,0.2,12.0,0.0,0.0,0.0,2.1,38.4,57.8,47.0,61.0,5.7,7.0,71.0,3.6,60.4,57.4,46,61,5.5,7,70,22.0,3.0,204.0,0.0,0.0,0.0,DEN,35.0,30,25,30,0,81,19,0,81,6,2,500.0,500,0,0.0,0,0.0,0,0.0,13,20.0,9,25.7
AJ BARNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.3,58.0,71.0,4.5,8.0,72.0,0.0,0.0,63.6,54,71,5.1,8,70,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,27,29,18,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALBERT OKWUEGBUNAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,106.6,87.0,101.0,12.1,9.0,119.0,0.0,0.0,102.5,87,94,11.8,9,116,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,31,30,24,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANDREW BECK,1.9,0.7,0.1,3.7,0.3,0.1,0.2,0.9,27.8,88.7,63.0,110.0,35.6,9.0,139.0,2.6,38.8,90.7,66,112,34.2,9,139,11.0,2.0,55.0,5.0,1.0,3.0,HOU,13.0,7,1,32,0,79,7,0,93,0,6,500.0,500,3,3.9,3,7.0,3,13.0,4,5.9,3,8.3
ANDREW OGLETREE,2.2,0.8,0.2,12.3,0.0,0.0,0.0,1.8,26.7,104.3,79.0,109.0,27.7,9.0,151.0,3.0,35.7,103.3,80,110,26.9,9,149,9.0,2.0,147.0,0.0,0.0,0.0,IND,21.0,21,24,7,0,83,17,0,83,8,0,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,2,8.0
ANTHONY FIRKSER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,122.0,135.0,5.0,11.0,132.0,0.0,0.0,126.5,120,136,6.5,10,133,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,28,21,31,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ARMANI ROGERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,141.0,142.0,4.5,11.0,150.0,0.0,0.0,145.0,141,142,4.0,11,149,0.0,0.0,0.0,0.0,0.0,0.0,PHI,0.0,31,30,24,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN HOOPER,1.4,1.5,0.0,13.8,0.0,0.0,0.0,1.8,23.4,51.2,39.0,55.0,7.9,7.0,69.0,2.8,48.4,50.4,38,54,8.8,7,69,25.0,0.0,234.0,0.0,0.0,0.0,NE,31.0,14,20,12,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,3,4.2,1,2.9
BEN SIMS,0.5,0.3,0.1,1.3,0.0,0.0,0.0,0.4,8.1,110.5,96.0,112.0,13.7,9.0,133.0,0.8,12.1,113.5,104,116,10.9,9,132,4.0,1.0,21.0,0.0,0.0,0.0,GB,6.0,8,9,15,0,92,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.2,1,2.7
BEN SINNOTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,17.0,26.0,5.0,4.0,43.0,0.0,0.0,26.8,16,26,4.9,4,44,0.0,0.0,0.0,0.0,0.0,0.0,WAS,0.0,16,15,20,0,0,0,0,0,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLAKE BELL,0.4,0.3,0.1,1.5,0.0,0.0,0.0,0.5,6.6,127.0,118.0,134.0,9.0,11.0,136.0,0.7,11.6,118.5,103,132,15.5,10,134,5.0,1.0,26.0,0.0,0.0,0.0,FA,9.0,33,33,33,0,92,8,0,92,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.1,1,2.1
BRAYDEN WILLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,102.0,129.0,7.0,10.0,116.0,0.0,0.0,111.5,101,129,10.5,10,122,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,12,7,22,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRENTON STRANGE,0.7,0.4,0.1,2.5,0.0,0.0,0.0,0.6,9.5,73.7,63.0,80.0,7.2,8.0,87.0,1.0,14.5,71.3,63,79,7.1,8,85,5.0,1.0,35.0,0.0,0.0,0.0,JAC,9.0,19,10,25,0,91,9,0,91,9,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.3,3,10.0
BREVIN JORDAN,2.6,1.3,0.2,16.8,0.0,0.0,0.0,1.6,33.9,52.1,42.0,52.0,8.1,7.0,70.0,3.9,50.9,57.1,45,53,9.0,7,75,17.0,2.0,219.0,0.0,0.0,0.0,HOU,21.0,7,1,32,0,75,25,0,75,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.9,1,2.8
BREVYN SPANN-FORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,81.0,116.0,29.7,9.0,147.0,0.0,0.0,111.3,82,115,28.3,9,147,0.0,0.0,0.0,0.0,0.0,0.0,DAL,0.0,29,28,21,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BROCK BOWERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,7.0,11.0,2.3,3.0,18.0,0.0,0.0,12.0,6,12,2.2,3,18,0.0,0.0,0.0,0.0,0.0,0.0,LV,0.0,10,18,9,0,0,0,0,0,0,1,95.5,101,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BROCK WRIGHT,1.1,0.9,0.1,6.5,0.0,0.0,0.0,1.0,15.1,69.1,54.0,69.0,8.2,8.0,87.0,2.0,28.1,67.2,50,69,9.7,7,88,13.0,1.0,91.0,0.0,0.0,0.0,DET,14.0,9,11,14,0,91,9,0,91,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,1,2.9
BRYCEN HOPKINS,0.5,0.3,0.0,5.2,0.0,0.0,0.0,0.5,7.8,111.5,110.0,132.0,1.5,10.0,113.0,0.9,12.8,120.5,117,134,3.5,10,124,5.0,0.0,78.0,0.0,0.0,0.0,FA,7.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0
BRYSON SUMLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,81.0,120.0,6.5,10.0,94.0,0.0,0.0,90.0,87,121,3.0,10,93,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CADE OTTON,4.1,2.8,0.2,26.8,0.0,0.0,0.0,3.9,69.5,22.3,16.0,21.0,2.8,4.0,31.0,6.9,116.5,21.5,15,20,3.1,4,30,47.0,4.0,455.0,0.0,0.0,0.0,TB,67.0,18,17,17,6,56,19,6,50,6,1,185.5,500,0,0.0,0,0.0,0,0.0,10,16.9,3,10.3
CADE STOVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,32.0,48.0,16.2,7.0,112.0,0.0,0.0,52.7,34,48,14.8,7,108,0.0,0.0,0.0,0.0,0.0,0.0,HOU,0.0,7,1,32,0,0,0,0,0,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CAMERON LATU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,83.0,102.0,12.1,9.0,116.0,0.0,0.0,95.2,83,95,13.1,9,120,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,12,7,22,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CHARLIE KOLAR,1.1,0.5,0.1,6.2,0.0,0.0,0.0,0.6,14.7,92.8,74.0,89.0,12.0,9.0,107.0,1.6,21.7,90.7,76,86,10.0,8,105,7.0,1.0,87.0,0.0,0.0,0.0,BAL,9.0,6,12,10,0,92,8,0,92,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,3.1,0,0.0
CHARLIE WOERNER,0.2,0.2,0.0,1.9,0.0,0.0,0.0,0.2,3.2,79.6,50.0,85.0,19.3,8.0,104.0,0.4,6.2,76.4,47,85,19.4,8,100,3.0,0.0,32.0,0.0,0.0,0.0,ATL,3.0,15,13,19,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0
CHIGOZIEM OKONKWO,3.5,3.2,0.1,31.1,0.1,0.0,0.4,4.5,59.4,25.6,20.0,25.0,3.9,4.0,40.0,6.7,113.4,24.1,17,22,4.2,4,40,54.0,1.0,528.0,2.0,0.0,6.0,TEN,77.0,2,5,4,0,75,13,0,69,6,1,190.5,500,0,0.0,0,0.0,0,0.0,6,12.8,3,13.0
CHRIS MANHERTZ,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.3,1.6,111.3,101.0,121.0,10.7,10.0,126.0,0.2,3.6,103.3,94,118,9.9,10,117,2.0,0.0,16.0,0.0,0.0,0.0,NYG,4.0,25,31,3,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,0,0.0
CJ UZOMAH,1.0,0.7,0.1,4.8,0.0,0.0,0.0,1.0,11.8,95.8,73.0,92.0,24.4,9.0,142.0,1.7,19.8,92.7,72,88,24.2,8,143,8.0,1.0,58.0,0.0,0.0,0.0,PHI,12.0,31,30,24,0,90,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,4,8.2,2,6.5
COLBY PARKINSON,2.2,1.5,0.1,14.5,0.0,0.0,0.0,2.0,36.7,33.5,21.0,38.0,7.8,5.0,60.0,3.6,61.7,33.2,20,38,8.1,5,60,25.0,2.0,247.0,0.0,0.0,0.0,LAR,34.0,22,14,27,0,88,13,0,88,13,2,500.0,500,0,0.0,0,0.0,0,0.0,8,12.3,4,16.7
COLE FOTHERINGHAM,0.3,0.5,0.0,3.0,0.0,0.0,0.0,0.5,0.6,124.7,109.0,130.0,14.0,10.0,143.0,0.8,1.6,126.0,114,131,12.4,10,143,1.0,0.0,6.0,0.0,0.0,0.0,LV,1.0,10,18,9,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COLE KMET,6.4,4.3,0.4,42.3,0.2,0.0,0.1,5.3,108.1,17.6,12.0,17.0,3.0,4.0,26.0,10.7,181.1,17.2,12,16,3.2,4,26,73.0,6.0,719.0,3.0,0.0,2.0,CHI,90.0,20,19,16,13,44,44,13,38,50,1,129.0,148,1,1.3,1,2.6,0,0.0,15,26.8,6,23.1
COLE TURNER,1.0,0.9,0.0,10.0,0.0,0.0,0.0,1.3,12.0,62.1,50.0,64.0,7.9,7.0,75.0,1.9,23.0,61.7,49,63,7.2,7,74,11.0,0.0,120.0,0.0,0.0,0.0,WAS,15.0,16,15,20,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,4,6.3,3,8.6
CONNOR HEYWARD,1.0,1.4,0.0,9.8,0.1,0.0,0.0,2.0,16.7,85.1,70.0,81.0,11.9,8.0,109.0,2.3,39.7,78.4,68,75,7.9,8,96,23.0,0.0,167.0,1.0,0.0,0.0,PIT,34.0,23,27,8,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,3,7.1,1,5.6
DALLAS GOEDERT,5.5,4.2,0.2,42.3,0.1,0.0,0.1,5.9,77.3,12.1,9.0,12.0,1.5,3.0,15.0,9.7,136.3,11.8,8,11,1.4,3,15,59.0,3.0,592.0,1.0,0.0,1.0,PHI,83.0,31,30,24,15,62,31,15,38,31,1,110.5,116,1,1.0,0,0.0,0,0.0,10,20.4,3,17.6
DALLIN HOLKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,54.0,73.0,22.8,8.0,117.0,0.0,0.0,75.1,55,72,20.4,8,112,0.0,0.0,0.0,0.0,0.0,0.0,NO,0.0,13,22,5,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DALTON KINCAID,4.8,4.6,0.1,42.1,0.0,0.0,0.0,5.7,77.3,6.8,2.0,7.0,1.2,2.0,10.0,9.4,150.3,5.0,2,5,1.4,2,10,73.0,2.0,673.0,0.0,0.0,0.0,BUF,91.0,17,6,29,0,60,27,0,47,40,1,49.0,54,0,0.0,0,0.0,0,0.0,9,14.5,4,14.8
DALTON SCHULTZ,6.1,3.9,0.3,42.3,0.0,0.0,0.0,5.9,91.5,14.2,11.0,14.0,1.8,3.0,19.0,10.0,150.5,14.5,11,14,1.7,3,19,59.0,5.0,635.0,0.0,0.0,0.0,HOU,88.0,7,1,32,7,43,43,14,43,50,1,124.0,137,0,0.0,0,0.0,0,0.0,13,19.1,5,13.9
DANIEL BELLINGER,1.5,1.5,0.0,15.0,0.0,0.0,0.0,1.6,25.5,39.0,29.0,40.0,4.7,6.0,53.0,3.0,50.5,37.3,28,40,4.8,6,48,25.0,0.0,255.0,0.0,0.0,0.0,NYG,28.0,25,31,3,0,100,0,0,94,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DARNELL WASHINGTON,0.4,0.4,0.0,3.6,0.0,0.0,0.0,0.6,6.1,54.2,34.0,60.0,10.3,7.0,76.0,0.8,13.1,55.6,45,58,7.8,7,76,7.0,0.0,61.0,0.0,0.0,0.0,PIT,10.0,23,27,8,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,2.4,1,5.6
DAVID NJOKU,7.5,5.1,0.4,55.1,0.0,0.0,0.0,7.7,120.2,9.3,6.0,9.0,1.7,2.0,14.0,12.6,201.2,9.8,6,10,1.4,3,14,81.0,6.0,882.0,0.0,0.0,0.0,CLE,123.0,1,4,2,19,31,38,13,31,69,1,88.0,73,0,0.0,0,0.0,0,0.0,17,26.6,10,34.5
DAVID WELLS,-0.2,0.4,0.0,-2.0,0.0,0.0,0.0,0.4,-1.0,124.7,120.0,131.0,4.1,10.0,130.0,0.2,1.0,114.7,108,123,5.3,10,121,2.0,0.0,-10.0,0.0,0.0,0.0,TB,2.0,18,17,17,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DAVIS ALLEN,1.0,0.7,0.1,6.3,0.0,0.0,0.0,0.7,15.5,49.9,34.0,53.0,12.0,7.0,85.0,1.7,25.5,52.0,40,55,10.6,7,82,10.0,1.0,95.0,0.0,0.0,0.0,LAR,11.0,22,14,27,0,92,8,0,92,8,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.7,1,2.4
DAWSON KNOX,2.7,1.8,0.2,15.5,0.0,0.0,0.0,3.0,32.6,32.1,25.0,30.0,3.4,5.0,43.0,4.5,54.6,34.0,26,31,3.9,5,44,22.0,2.0,186.0,0.0,0.0,0.0,BUF,36.0,17,6,29,0,91,9,0,91,0,2,500.0,500,0,0.0,0,0.0,0,0.0,8,12.9,5,18.5
DEVIN CULP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3,73.0,104.0,21.0,9.0,119.0,0.0,0.0,95.8,73,103,17.7,9,113,0.0,0.0,0.0,0.0,0.0,0.0,TB,0.0,18,17,17,0,0,0,0,0,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DONALD PARHAM,3.8,1.9,0.3,20.4,0.0,0.0,0.0,2.9,52.5,42.2,35.0,42.0,5.6,6.0,59.0,5.7,79.5,44.3,37,42,5.9,6,62,27.0,4.0,285.0,0.0,0.0,0.0,LAC,41.0,24,26,13,0,69,23,0,69,23,3,500.0,500,0,0.0,0,0.0,0,0.0,10,13.7,7,15.9
DREW SAMPLE,1.7,1.3,0.1,9.6,0.0,0.0,0.0,1.6,28.3,77.7,68.0,74.0,8.1,8.0,90.0,3.0,50.3,75.4,64,73,7.1,8,88,22.0,2.0,163.0,0.0,0.0,0.0,CIN,27.0,26,23,28,0,88,13,0,88,6,3,500.0,500,0,0.0,0,0.0,0,0.0,3,4.1,0,0.0
DURHAM SMYTHE,2.3,2.2,0.0,22.9,0.0,0.0,0.0,2.7,36.6,66.7,53.0,66.0,9.1,7.0,91.0,4.5,71.6,64.3,51,65,7.8,7,83,35.0,0.0,366.0,0.0,0.0,0.0,MIA,43.0,32,32,26,0,80,0,0,80,7,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.0,3,6.8
ELIJAH HIGGINS,2.0,1.3,0.1,14.8,0.0,0.0,0.0,1.7,22.3,70.2,50.0,78.0,16.1,8.0,98.0,3.3,36.3,69.3,51,81,15.7,8,97,14.0,1.0,163.0,0.0,0.0,0.0,ARI,19.0,11,16,11,0,90,10,0,90,10,3,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,1,3.8
ERIC SAUBERT,0.1,0.4,0.0,1.5,0.0,0.0,0.0,0.4,1.2,87.7,69.0,107.0,22.9,9.0,120.0,0.5,4.2,89.3,69,111,23.3,9,122,3.0,0.0,12.0,0.0,0.0,0.0,SF,3.0,12,7,22,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ERIC TOMLINSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,123.0,139.0,15.0,11.0,153.0,0.0,0.0,141.5,130,141,11.5,11,153,0.0,0.0,0.0,0.0,0.0,0.0,IND,0.0,21,24,7,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ERICK ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,33.0,46.0,7.0,6.0,63.0,0.0,0.0,45.3,33,45,6.4,6,61,0.0,0.0,0.0,0.0,0.0,0.0,CIN,0.0,26,23,28,0,0,0,0,0,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EVAN ENGRAM,6.8,6.7,0.2,56.6,0.0,0.0,0.0,8.4,116.3,9.4,6.0,10.0,1.0,3.0,11.0,13.5,230.3,6.6,4,6,1.4,2,11,114.0,4.0,963.0,0.0,0.0,0.0,JAC,143.0,19,10,25,13,31,31,13,25,56,1,71.0,57,0,0.0,0,0.0,0,0.0,9,14.3,4,13.3
FOSTER MOREAU,1.7,1.4,0.1,12.9,0.0,0.0,0.0,1.7,25.3,57.5,42.0,62.0,11.4,7.0,79.0,3.1,46.3,59.5,42,62,13.4,7,82,21.0,1.0,193.0,0.0,0.0,0.0,NO,25.0,13,22,5,0,92,8,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.2,3,9.1
GEOFF SWAIM,0.7,0.7,0.0,6.7,0.0,0.0,0.0,0.8,9.4,102.5,102.0,125.0,0.5,10.0,103.0,1.4,19.4,100.0,99,125,1.0,10,101,10.0,0.0,94.0,0.0,0.0,0.0,FA,11.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,0,0.0
GEORGE KITTLE,8.6,4.1,0.4,63.8,0.1,0.0,0.1,5.6,138.2,4.9,3.0,5.0,1.0,2.0,8.0,12.7,203.2,7.6,5,8,1.3,2,10,65.0,6.0,1020.0,1.0,0.0,2.0,SF,90.0,12,7,22,31,38,56,31,44,56,1,65.0,51,0,0.0,0,0.0,0,0.0,12,17.1,4,15.4
GERALD EVERETT,4.0,3.4,0.2,27.4,0.2,0.0,0.7,4.7,60.1,34.5,22.0,33.0,5.6,5.0,57.0,7.4,111.1,32.7,20,32,4.9,5,46,51.0,3.0,411.0,3.0,0.0,10.0,CHI,70.0,20,19,16,0,64,21,0,43,29,2,500.0,500,0,0.0,0,0.0,0,0.0,10,13.7,7,15.9
GIOVANNI RICCI,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.2,0.2,111.5,92.0,114.0,23.7,9.0,151.0,0.2,1.2,103.0,79,109,25.6,9,146,1.0,0.0,2.0,0.0,0.0,0.0,CLE,1.0,1,4,2,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GRANT CALCATERRA,0.3,0.3,0.0,2.8,0.0,0.0,0.0,0.3,3.9,113.8,73.0,108.0,21.7,9.0,135.0,0.6,7.9,106.6,71,102,19.8,9,131,4.0,0.0,39.0,0.0,0.0,0.0,PHI,4.0,31,30,24,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
GREG DULCICH,1.3,1.5,0.0,12.5,0.0,0.0,0.0,2.0,2.5,32.5,21.0,37.0,6.6,5.0,51.0,2.8,5.5,32.0,21,37,6.3,5,52,3.0,0.0,25.0,0.0,0.0,0.0,DEN,4.0,30,25,30,0,100,0,0,100,0,1,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HARRISON BRYANT,1.5,0.8,0.2,4.8,0.3,0.0,0.5,1.2,24.9,80.7,66.0,76.0,14.0,8.0,111.0,2.2,37.9,78.0,65,74,11.1,8,104,13.0,3.0,81.0,5.0,0.0,8.0,LV,20.0,10,18,9,0,88,13,0,88,6,3,500.0,500,0,0.0,0,0.0,0,0.0,5,7.8,3,10.3
HAYDEN HURST,2.4,1.8,0.1,18.4,0.0,0.0,0.0,3.2,24.4,36.8,23.0,41.0,5.6,6.0,52.0,4.2,42.4,36.5,25,41,5.6,6,49,18.0,1.0,184.0,0.0,0.0,0.0,LAC,32.0,24,26,13,0,80,10,0,90,10,2,500.0,500,0,0.0,0,0.0,0,0.0,3,8.3,3,13.6
