,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
ADAM THIELEN,9.2,4.8,0.5,61.5,0.0,0.0,0.0,6.2,91.5,67.5,50.0,65.0,6.8,7.0,84.0,13.9,139.5,64.3,43,64,7.1,7,81,48.0,5.0,615.0,0.0,0.0,0.0,CAR,62.0,6,15,2,11,11,56,11,11,44,3,176.5,173.3,0,0.0,0,0.0,0,0.0,7,9.7,2,6.3
ADONAI MITCHELL,1.8,1.4,0.0,18.4,0.2,0.0,0.4,3.2,30.8,80.7,62.0,76.0,10.5,8.0,123.0,3.2,53.8,81.4,58,73,11.1,7,125,23.0,0.0,312.0,4.0,0.0,6.0,IND,55.0,23,25,20,0,88,0,0,88,0,4,500.0,500.0,2,2.0,0,0.0,0,0.0,5,8.9,2,9.1
AINIAS SMITH,1.5,1.0,0.1,5.9,0.3,0.0,0.9,1.3,10.7,173.8,154.0,186.0,16.3,12.0,203.0,2.5,17.7,171.0,154,186,15.8,12,200,7.0,1.0,41.0,2.0,0.0,6.0,PHI,9.0,4,4,9,0,100,0,0,100,0,5,500.0,500.0,0,0.0,0,0.0,0,0.0,1,1.9,0,0.0
AJ BROWN,11.5,5.2,0.5,83.0,0.0,0.0,0.0,7.5,149.9,8.8,4.0,10.0,1.5,2.0,14.0,16.7,216.9,10.6,7,10,1.6,3,15,67.0,7.0,1079.0,0.0,0.0,0.0,PHI,97.0,4,4,9,8,8,54,8,8,54,1,22.0,19.5,0,0.0,0,0.0,0,0.0,9,16.7,4,17.4
ALEC PIERCE,7.8,2.3,0.4,51.5,0.0,0.0,0.0,4.3,124.4,72.3,56.0,72.0,7.6,7.0,109.0,10.1,161.4,78.0,62,74,7.6,7,114,37.0,7.0,824.0,0.0,0.0,0.0,IND,69.0,23,25,20,20,40,33,0,53,33,3,500.0,500.0,0,0.0,0,0.0,0,0.0,6,10.7,4,18.2
ALEX BACHMAN,0.6,0.6,0.0,6.2,0.0,0.0,0.0,0.6,3.1,239.5,224.0,255.0,15.5,14.0,255.0,1.2,6.1,251.0,246,256,5.0,14,256,3.0,0.0,31.0,0.0,0.0,0.0,LV,3.0,7,18,1,0,100,0,0,100,0,6,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALLEN LAZARD,7.4,3.1,0.5,44.2,0.0,0.0,0.0,5.0,89.0,115.0,77.0,129.0,19.1,10.0,149.0,10.5,126.0,117.6,78,129,18.5,10,149,37.0,6.0,530.0,0.0,0.0,0.0,NYJ,60.0,24,26,22,9,45,27,9,45,18,2,500.0,500.0,0,0.0,0,0.0,0,0.0,12,14.0,3,7.3
AMARI COOPER,6.1,3.4,0.3,42.1,0.0,0.0,0.0,6.5,78.7,96.3,40.0,110.0,23.6,9.0,199.0,9.4,122.7,100.8,47,110,23.4,9,204,44.0,4.0,547.0,0.0,0.0,0.0,FA,85.0,33,33,33,7,50,21,7,43,21,0,500.0,500.0,0,0.0,0,0.0,0,0.0,5,,2,
AMON-RA ST BROWN,11.8,6.8,0.7,74.3,0.1,0.0,0.4,8.3,201.2,7.6,4.0,8.0,1.5,2.0,12.0,18.6,316.2,5.6,3,5,1.7,2,9,115.0,12.0,1263.0,2.0,0.0,6.0,DET,141.0,22,19,16,13,6,63,19,6,63,1,9.0,9.5,1,0.9,0,0.0,0,0.0,31,34.8,15,36.6
ANDREI IOSIVAS,4.9,2.1,0.4,28.2,0.0,0.0,0.0,3.6,83.9,82.3,67.0,83.0,7.8,8.0,119.0,7.1,119.9,83.6,68,85,7.7,8,118,36.0,6.0,479.0,0.0,0.0,0.0,CIN,61.0,17,9,26,0,50,19,0,50,6,3,500.0,500.0,0,0.0,0,0.0,0,0.0,10,8.6,10,15.4
