PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
A.J. Brown,WR,20.6,12.7,0.0,0.0,5.0,0.8,76.8,0.0,0.0,0.0,11.0,177.5,0.0,0.0,21.3,17.7,5.0,247.5,21.0,6.1,3.0,37.0,70.0,11.0,1075.0,19.0,0.0,0.0,0.0,4.1,TEN,3.0,44.0,25,27,20,1
A.J. Green,WR,216.0,4.0,0.0,0.0,2.9,0.1,32.7,0.0,0.0,0.0,62.0,64.3,0.0,0.0,206.7,7.0,113.0,111.3,200.0,27.4,9.0,271.0,47.0,2.0,523.0,208.0,0.0,0.0,0.0,27.4,ARI,11.0,330.0,11,13,15,3
AJ Dillon,RB,108.8,3.5,0.0,0.0,0.2,0.0,1.9,4.2,0.2,22.0,60.0,38.3,0.0,0.0,115.5,3.7,76.0,40.3,112.0,20.2,7.0,186.0,2.0,0.0,21.0,110.0,46.0,2.0,242.0,16.1,GB,8.0,168.0,30,26,27,2
Aaron Jones,RB,8.8,15.1,0.0,0.0,3.4,0.1,25.4,14.4,0.6,78.9,3.0,211.9,0.0,0.0,8.4,18.5,3.0,258.9,8.0,3.9,1.0,23.0,47.0,2.0,355.0,9.0,201.0,9.0,1104.0,2.9,GB,2.0,22.0,30,26,27,1
Aaron Rodgers,QB,76.1,24.2,3.0,268.7,0.0,0.0,0.0,2.4,0.2,9.3,43.0,387.26,48.0,4299.0,72.3,24.3,54.0,388.26,71.0,10.3,5.0,105.0,0.0,0.0,0.0,69.0,38.0,3.0,149.0,11.9,GB,7.0,111.0,31,29,20,1
Adam Humphries,WR,310.9,5.0,0.0,0.0,3.3,0.3,32.6,0.1,0.0,0.0,128.0,34.8,0.0,0.0,294.0,8.3,182.0,57.8,355.0,48.9,11.0,378.0,23.0,2.0,228.0,394.0,1.0,0.0,0.0,66.6,WAS,15.0,377.0,14,25,1,3
Adam Shaheen,TE,333.5,2.1,0.0,0.0,0.8,0.2,9.4,0.0,0.0,0.0,331.0,33.0,0.0,0.0,343.8,2.8,284.0,45.0,498.0,70.5,13.0,464.0,12.0,3.0,150.0,491.0,0.0,0.0,0.0,2.5,MIA,16.0,336.0,2,2,29,2
Adam Thielen,WR,45.2,12.0,0.0,0.0,4.9,0.9,61.7,0.2,0.0,1.0,27.0,180.0,0.0,0.0,52.4,16.9,33.0,254.0,49.0,10.8,4.0,88.0,74.0,14.0,925.0,44.0,3.0,0.0,15.0,7.7,MIN,5.0,86.0,18,6,28,2
Adam Trautman,TE,160.6,1.5,0.0,0.0,1.0,0.1,11.4,0.0,0.0,0.0,69.0,23.1,0.0,0.0,180.4,2.5,106.0,38.1,185.0,46.3,8.0,369.0,15.0,1.0,171.0,155.0,0.0,0.0,0.0,54.3,NO,10.0,364.0,8,21,3,1
Adrian Peterson,RB,327.0,7.0,0.0,0.0,0.8,0.0,6.3,9.8,0.4,37.8,233.0,112.5,0.0,0.0,324.0,7.8,237.0,124.5,381.0,31.2,12.0,388.0,12.0,0.0,101.0,352.0,156.0,7.0,604.0,30.3,FA,14.0,385.0,33,33,33,0
Albert Okwuegbunam,TE,324.7,4.5,0.0,0.0,2.8,0.3,30.3,0.0,0.0,0.0,184.0,18.1,0.0,0.0,331.1,7.3,197.0,29.1,359.0,32.2,12.0,385.0,11.0,1.0,121.0,374.0,0.0,0.0,0.0,37.7,DEN,14.0,378.0,4,7,12,2
Aldrick Rosas,K,331.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,39.0,0.0,0.0,286.3,6.5,178.0,39.0,482.0,67.1,13.0,353.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,15.6,FA,16.0,342.0,33,33,33,0
