PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
Justin Tucker,0,8,6,9,3,0.0,0.5,0.4,0.6,0.2,9.1,3.3,3.3,145,1.3,1.0,1.0,0.6,1.0,3.0,BAL,53,52,3,2,10,0,0,0
Harrison Butker,2,7,9,3,4,0.1,0.4,0.6,0.2,0.3,8.4,3.4,3.0,134,2.5,1.0,2.0,1.1,1.0,6.0,KC,54,48,14,21,11,0,0,0
Younghoe Koo,0,10,11,8,8,0.0,0.7,0.7,0.5,0.5,11.2,2.4,2.2,168,3.4,1.0,3.0,1.8,1.0,8.0,ATL,36,33,24,16,31,0,0,0
Greg Zuerlein,1,5,13,12,3,0.1,0.3,0.8,0.8,0.2,9.6,2.3,2.1,153,4.6,2.0,4.0,1.3,2.0,9.0,DAL,36,33,6,5,9,0,0,0
Jason Sanders,1,8,7,12,8,0.1,0.5,0.4,0.8,0.5,10.8,2.3,2.3,172,6.5,3.0,5.0,2.1,2.0,11.0,MIA,36,36,25,12,32,0,0,0
Wil Lutz,0,5,10,7,1,0.0,0.3,0.6,0.4,0.1,8.4,3.6,3.6,135,7.7,2.0,6.0,3.8,2.0,18.0,NO,58,57,26,24,26,0,0,0
Rodrigo Blankenship,0,10,12,9,1,0.0,0.6,0.8,0.6,0.1,9.4,2.8,2.7,150,8.1,4.0,7.0,3.0,2.0,20.0,IND,45,43,4,15,1,0,0,0
Tyler Bass,1,9,6,8,4,0.1,0.6,0.4,0.5,0.3,9.8,3.7,3.6,157,9.3,3.0,8.0,5.8,3.0,31.0,BUF,59,57,7,8,13,0,0,0
Ryan Succop,1,10,9,7,1,0.1,0.6,0.6,0.4,0.1,9.1,3.6,3.3,145,10.1,4.0,9.0,3.1,3.0,18.0,TB,57,52,31,30,19,0,0,0
Matt Prater,0,4,7,4,6,0.0,0.3,0.4,0.3,0.4,7.3,2.6,2.4,117,10.2,2.0,10.0,3.3,3.0,22.0,ARI,41,38,30,27,23,0,0,0
Robbie Gould,0,3,5,9,2,0.0,0.2,0.3,0.6,0.1,7.1,2.5,2.4,106,11.6,6.0,11.0,3.5,3.0,22.0,SF,38,36,16,22,12,0,0,0
Jason Myers,0,2,7,13,2,0.0,0.1,0.4,0.8,0.1,8.6,3.3,3.1,138,11.9,8.0,12.0,2.5,3.0,23.0,SEA,53,49,13,14,25,0,0,0
Michael Badgley,0,8,6,8,2,0.0,0.5,0.4,0.5,0.1,7.5,2.4,2.3,120,14.4,8.0,13.0,4.2,3.0,32.0,LAC,39,36,23,25,18,0,0,0
Mason Crosby,1,1,5,5,4,0.1,0.1,0.3,0.3,0.3,7.5,3.9,3.7,120,15.5,9.0,14.0,3.4,4.0,27.0,GB,63,59,2,9,8,0,0,0
Daniel Carlson,0,18,8,3,4,0.0,1.1,0.5,0.2,0.3,9.7,2.9,2.8,155,16.3,8.0,15.0,3.8,4.0,28.0,LV,47,45,27,19,29,0,0,0
Brandon McManus,0,6,4,8,10,0.0,0.4,0.3,0.5,0.7,9.1,1.8,1.6,136,17.4,9.0,16.0,2.8,4.0,25.0,DEN,27,24,19,7,28,0,0,0
Joey Slye,0,11,10,7,1,0.0,0.7,0.6,0.4,0.1,8.1,2.3,2.1,129,18.7,2.0,17.0,3.3,4.0,25.0,CAR,36,33,20,28,3,0,0,0
Jake Elliott,0,1,6,5,2,0.0,0.1,0.4,0.3,0.1,4.7,1.6,1.5,75,19.8,1.0,18.0,5.9,4.0,31.0,PHI,26,24,9,1,22,0,0,0
