PLAYER NAME,ATT,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,REC,REC_TDS,REC_TGT,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,TDS,TDS.1,TEAM,TGT,TIERS,YDS,YDS.1,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
Adam Trautman,0.0,2.1,1.4,0.1,15.9,0.0,0.0,0.0,1.7,26.7,40.5,24.0,40.0,7.3,6.0,59.0,3.4,44.7,40.1,23,40,7.3,6,59,40.0,18.0,1.0,22.0,207.0,40.0,0.0,0.0,0.0,1.0,0.0,DEN,22.0,6.0,207.0,0.0,27,31,12,0,92,8,2
Albert Okwuegbunam,0.0,2.6,1.7,0.2,15.8,0.0,0.0,0.0,3.0,15.5,42.7,26.0,45.0,11.8,6.0,100.0,4.3,25.5,47.0,33,45,11.7,6,98,45.0,10.0,1.0,18.0,95.0,45.0,0.0,0.0,0.0,1.0,0.0,DEN,18.0,6.0,95.0,0.0,27,31,12,0,60,20,3
Andrew Beck,2.0,0.8,0.6,0.0,7.7,0.2,0.0,0.0,1.2,6.9,104.4,95.0,114.0,14.4,9.0,133.0,1.3,11.9,101.2,94,112,11.4,9,124,112.0,5.0,0.0,11.0,69.0,114.0,2.0,0.0,0.0,0.0,0.0,HOU,11.0,9.0,69.0,0.0,1,1,6,0,100,0,5
Anthony Firkser,0.0,1.3,1.1,0.0,12.5,0.0,0.0,0.0,1.6,10.0,117.0,97.0,138.0,20.0,10.0,137.0,2.4,19.0,112.0,93,134,19.0,10,131,134.0,9.0,0.0,13.0,100.0,138.0,0.0,0.0,0.0,0.0,0.0,NE,13.0,10.0,100.0,0.0,26,25,17,0,100,0,3
Armani Rogers,2.0,1.0,0.6,0.0,7.1,0.2,0.0,2.9,0.7,9.0,105.0,96.0,115.0,5.4,9.0,111.0,1.6,14.0,101.8,92,115,5.3,9,107,115.0,5.0,0.0,6.0,64.0,115.0,2.0,0.0,26.0,0.0,0.0,WAS,6.0,9.0,64.0,26.0,13,7,28,0,100,0,0
Austin Hooper,0.0,3.3,2.4,0.1,26.1,0.0,0.0,0.0,3.5,56.4,38.0,26.0,37.0,4.6,5.0,61.0,5.7,97.4,37.3,24,37,4.3,5,57,37.0,41.0,2.0,60.0,444.0,37.0,0.0,0.0,0.0,2.0,0.0,LV,60.0,5.0,444.0,0.0,17,22,16,6,75,13,2
Blake Bell,0.0,4.0,1.0,0.5,10.0,0.0,0.0,0.0,1.0,8.0,70.0,62.0,102.0,6.2,9.0,77.0,5.0,10.0,72.3,62,109,8.2,9,82,109.0,2.0,1.0,2.0,20.0,102.0,0.0,0.0,0.0,1.0,0.0,KC,2.0,9.0,20.0,0.0,10,9,15,0,0,0,3
Brayden Willis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,103.0,137.0,9.0,10.0,121.0,0.0,0.0,105.0,99,131,6.0,10,111,131.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,10.0,0.0,0.0,3,2,20,0,0,0,0
Brenton Strange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,47.0,62.0,9.7,7.0,90.0,0.0,0.0,58.7,43,62,9.8,7,88,62.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,JAC,0.0,7.0,0.0,0.0,21,23,14,0,0,0,2
Brevin Jordan,0.0,1.4,1.6,0.0,14.2,0.0,0.0,0.0,3.1,12.8,51.6,37.0,50.0,8.9,6.0,86.0,3.0,26.8,52.1,36,50,9.2,6,89,50.0,14.0,0.0,28.0,128.0,50.0,0.0,0.0,0.0,0.0,0.0,HOU,28.0,6.0,128.0,0.0,1,1,6,0,89,0,2
