PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
A.J. Brown,12.4,5.2,0.6,88.0,0.0,0.0,0.0,8.5,211.6,6.7,2.0,6.0,1.8,2.0,12.0,17.6,299.6,8.2,4,8,1.9,2,16,8.0,88.0,11.0,145.0,1496.0,0.0,0.0,0.0,PHI,9,3,27,25,13,69,1
A.T. Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.8,82.0,120.0,20.4,10.0,224.0,0.0,0.0,123.9,84,122,21.0,10,226,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,1,1,8,0,0,0,4
Adam Thielen,6.5,4.1,0.4,42.1,0.1,0.0,0.2,6.3,110.0,63.3,44.0,59.0,7.4,7.0,84.0,10.6,180.0,61.4,39,60,11.1,7,147,60.0,70.0,6.0,107.0,716.0,1.0,0.0,4.0,CAR,8,8,13,0,38,31,1
Alec Pierce,4.5,2.6,0.1,37.1,0.0,0.0,0.0,4.9,71.3,69.6,52.0,65.0,9.1,7.0,98.0,7.0,112.3,72.1,53,65,14.1,7,194,65.0,41.0,2.0,78.0,593.0,0.0,0.0,0.0,IND,12,9,23,0,60,13,2
Allen Lazard,7.7,4.0,0.4,52.5,0.1,0.0,0.0,6.7,114.8,53.9,39.0,53.0,6.8,6.0,81.0,11.7,174.8,56.2,41,53,9.3,7,125,53.0,60.0,6.0,100.0,788.0,2.0,0.0,0.0,NYJ,19,22,16,0,14,29,2
Allen Robinson II,5.2,3.3,0.3,33.9,0.0,0.0,0.0,5.2,51.9,85.5,65.0,86.0,9.2,8.0,113.0,8.5,84.9,84.4,62,87,9.7,8,111,87.0,33.0,3.0,52.0,339.0,0.0,0.0,0.0,PIT,24,20,28,0,50,30,0
Amari Cooper,9.9,4.6,0.5,68.2,0.0,0.0,0.0,7.8,169.0,16.0,11.0,15.0,2.8,3.0,28.0,14.5,247.0,18.9,13,18,3.2,4,35,18.0,78.0,9.0,132.0,1160.0,0.0,0.0,0.0,CLE,30,19,32,19,25,50,1
Amari Rodgers,1.5,1.1,0.1,13.6,0.1,0.0,0.5,1.7,23.1,167.5,159.0,185.0,5.8,12.0,176.0,2.6,39.1,169.2,161,188,5.3,12,177,188.0,16.0,1.0,25.0,204.0,2.0,0.0,7.0,IND,12,9,23,0,93,7,6
Amon-Ra St. Brown,10.1,6.6,0.4,72.6,0.6,0.0,5.9,9.1,161.6,8.8,4.0,9.0,1.8,2.0,15.0,16.7,267.6,7.5,2,7,1.8,2,11,7.0,106.0,6.0,146.0,1161.0,9.0,0.0,95.0,DET,6,11,3,20,13,53,1
Andre Baccellia,0.9,1.4,0.0,9.0,0.0,0.0,0.0,2.0,4.5,182.0,145.0,233.0,37.0,13.0,219.0,2.3,11.5,171.0,143,232,28.0,14,199,232.0,7.0,0.0,10.0,45.0,0.0,0.0,0.0,ARI,23,21,26,0,100,0,0
Andrei Iosivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.4,119.0,155.0,16.1,11.0,178.0,0.0,0.0,144.2,116,154,15.7,11,176,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,13,13,6,0,0,0,6
Anthony Schwartz,2.1,0.6,0.0,7.3,0.6,0.1,8.1,1.4,14.8,177.7,156.0,184.0,11.0,12.0,190.0,2.7,18.8,178.9,163,187,8.9,12,190,187.0,4.0,0.0,10.0,51.0,4.0,1.0,57.0,CLE,30,19,32,0,86,0,7
Antoine Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.3,151.0,222.0,28.2,12.0,220.0,0.0,0.0,182.3,151,222,26.1,13,215,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,6,11,3,0,0,0,0
Ashton Dulin,2.8,1.5,0.1,20.7,0.2,0.0,0.8,2.2,27.5,142.9,129.0,170.0,12.4,11.0,166.0,4.3,42.5,143.4,126,169,13.4,11,167,169.0,15.0,1.0,22.0,207.0,2.0,0.0,8.0,IND,12,9,23,0,70,0,0
Austin Trammell,0.7,1.0,0.0,6.5,0.0,0.0,0.0,2.0,1.3,231.5,228.0,268.0,3.5,14.0,235.0,1.6,3.3,218.5,207,262,11.5,16,230,262.0,2.0,0.0,4.0,13.0,0.0,0.0,0.0,LAR,32,31,19,0,100,0,0
Austin Watkins Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.7,77.0,194.0,40.9,12.0,172.0,0.0,0.0,131.3,76,196,40.0,12,169,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,30,19,32,0,0,0,0
Ben Skowronek,3.2,2.8,0.0,26.9,0.1,0.1,1.2,4.4,45.3,123.3,102.0,123.0,12.7,10.0,165.0,6.0,84.3,118.8,97,119,11.7,10,161,119.0,39.0,0.0,61.0,376.0,1.0,1.0,17.0,LAR,32,31,19,0,71,14,4
