PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
AARON JONES,RB,68.2,9.5,0.0,0.0,2.7,0.1,21.2,12.9,0.2,59.6,48.0,104.9,0.0,0.0,66.8,12.3,42.0,134.9,68.0,7.6,5.0,94.0,30.0,1.0,233.0,68.0,142.0,2.0,656.0,8.8,MIN,6.0,101.0,26,16,30,1,54.5,56
AARON RODGERS,QB,121.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,122.4,0.0,84.0,0.0,120.0,15.2,7.0,178.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,13.9,NYJ,7.0,172.0,15,15,11,1,141.0,115
ADAM THIELEN,WR,178.4,7.5,0.0,0.0,6.1,0.2,59.6,0.1,0.0,0.4,123.0,128.0,0.0,0.0,156.4,13.6,81.0,231.0,152.0,25.7,8.0,231.0,103.0,4.0,1014.0,168.0,1.0,0.0,6.0,22.2,CAR,9.0,263.0,17,13,18,2,164.5,155
ADAM TRAUTMAN,TE,357.9,2.3,0.0,0.0,1.3,0.2,12.0,0.0,0.0,0.0,301.0,38.4,0.0,0.0,361.4,3.6,304.0,60.4,408.0,28.4,13.0,441.0,22.0,3.0,204.0,415.0,0.0,0.0,0.0,24.1,DEN,13.0,394.0,30,25,30,2,500.0,500
ADONAI MITCHELL,WR,170.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,170.7,0.0,115.0,0.0,163.0,24.8,9.0,261.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,24.2,IND,9.0,261.0,22,19,26,3,146.0,172
AIDAN OCONNELL,QB,305.6,12.1,1.1,201.6,0.0,0.0,0.0,1.5,0.1,1.0,243.0,132.8,12.0,2218.0,304.8,12.1,211.0,132.8,290.0,41.6,11.0,665.0,0.0,0.0,0.0,293.0,17.0,1.0,11.0,40.8,LV,11.0,665.0,21,21,14,2,500.0,500
AINIAS SMITH,WR,377.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,379.6,0.0,333.0,0.0,428.0,59.0,13.0,596.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,61.3,PHI,13.0,596.0,6,11,7,5,500.0,500
AJ BARNER,TE,366.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0.0,366.0,0.0,355.0,0.0,493.0,9.1,14.0,382.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,7.8,SEA,14.0,381.0,27,29,18,0,500.0,500
AJ BROWN,WR,8.5,10.8,0.0,0.0,6.2,0.4,85.6,0.0,0.0,0.0,4.0,183.6,0.0,0.0,9.2,17.0,5.0,289.6,9.0,1.4,2.0,15.0,106.0,7.0,1456.0,9.0,0.0,0.0,0.0,2.2,PHI,2.0,19.0,6,11,7,1,10.0,11
AJ DILLON,RB,228.3,6.4,0.0,0.0,1.5,0.0,14.9,11.9,0.1,40.9,142.0,95.6,0.0,0.0,237.6,7.8,147.0,117.6,245.0,29.7,10.0,308.0,22.0,0.0,223.0,236.0,178.0,2.0,613.0,30.7,GB,10.0,289.0,29,29,15,0,500.0,500
ALBERT OKWUEGBUNAM,TE,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,416.5,0.0,352.0,0.0,564.0,64.5,15.0,481.0,0.0,0.0,0.0,,0.0,0.0,0.0,,PHI,,,31,30,24,3,500.0,500
ALEC INGOLD,RB,389.0,0.7,0.0,0.0,0.8,0.0,7.0,0.1,0.0,0.0,357.0,11.9,0.0,0.0,340.3,1.5,300.0,24.9,439.0,29.9,13.0,388.0,13.0,0.0,119.0,510.0,2.0,0.0,0.0,41.1,MIA,14.0,478.0,6,5,19,4,500.0,500
ALEC PIERCE,WR,271.8,3.7,0.0,0.0,1.9,0.1,30.2,0.0,0.0,0.0,208.0,63.4,0.0,0.0,274.1,5.6,204.0,95.4,281.0,28.5,11.0,377.0,32.0,2.0,514.0,277.0,0.0,0.0,0.0,28.8,IND,11.0,369.0,22,19,26,4,500.0,500
ALEXANDER MATTISON,RB,211.6,6.5,0.0,0.0,1.9,0.2,12.0,11.3,0.0,43.8,142.0,103.2,0.0,0.0,221.2,8.3,147.0,133.2,217.0,30.6,10.0,301.0,30.0,3.0,192.0,213.0,180.0,0.0,700.0,32.7,LV,10.0,317.0,9,19,3,2,500.0,500
ALLEN LAZARD,WR,310.9,2.6,0.0,0.0,1.6,0.1,22.2,0.0,0.0,0.0,240.0,37.1,0.0,0.0,309.9,4.3,217.0,60.1,342.0,52.9,12.0,545.0,23.0,1.0,311.0,337.0,0.0,0.0,0.0,42.8,NYJ,12.0,482.0,16,20,12,4,500.0,500
ALLEN ROBINSON,WR,423.0,1.6,0.0,0.0,2.0,0.0,16.5,0.0,0.0,0.0,350.0,28.0,0.0,0.0,392.5,3.6,286.0,62.0,507.0,105.3,14.0,567.0,34.0,0.0,280.0,532.0,0.0,0.0,0.0,88.8,FA,15.0,548.0,33,33,33,0,500.0,500
ALVIN KAMARA,RB,60.6,12.2,0.0,0.0,5.8,0.1,35.8,13.8,0.4,53.4,45.0,158.0,0.0,0.0,44.7,17.9,16.0,233.0,42.0,15.9,4.0,80.0,75.0,1.0,466.0,61.0,180.0,5.0,694.0,10.5,NO,5.0,99.0,27,20,31,1,43.5,34
AMARI COOPER,WR,40.3,10.3,0.0,0.0,4.8,0.3,83.3,0.0,0.0,0.0,20.0,155.0,0.0,0.0,44.8,15.1,23.0,227.0,44.0,7.8,4.0,63.0,72.0,5.0,1250.0,38.0,0.0,0.0,0.0,6.5,CLE,4.0,66.0,26,18,30,1,56.5,69
AMEER ABDULLAH,RB,358.1,1.3,0.0,0.0,1.1,0.0,7.7,0.9,0.0,5.2,321.0,22.0,0.0,0.0,338.8,2.4,287.0,41.0,403.0,29.7,13.0,392.0,19.0,0.0,131.0,431.0,15.0,0.0,89.0,31.0,LV,13.0,448.0,9,19,3,4,500.0,500
AMON-RA ST BROWN,WR,6.9,13.2,0.0,0.0,7.4,0.6,94.7,0.3,0.0,1.5,3.0,211.9,0.0,0.0,4.9,20.7,2.0,330.9,5.0,1.3,1.0,9.0,119.0,10.0,1515.0,7.0,4.0,0.0,24.0,1.2,DET,1.0,12.0,24,30,11,1,6.5,6
ANDERS CARLSON,K,241.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,125.0,0.0,0.0,234.2,7.4,212.0,125.0,431.0,19.5,13.0,261.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,30.9,FA,13.0,296.0,33,33,33,0,500.0,500
ANDREI IOSIVAS,WR,242.7,2.2,0.0,0.0,0.9,0.3,7.3,0.0,0.0,0.0,155.0,35.6,0.0,0.0,238.0,3.2,141.0,50.6,237.0,33.0,10.0,327.0,15.0,4.0,116.0,247.0,0.0,0.0,0.0,32.2,CIN,10.0,315.0,27,27,23,3,500.0,500
ANDY DALTON,QB,414.0,7.9,0.7,120.3,0.0,0.0,0.0,1.0,0.0,4.0,296.0,23.6,2.0,361.0,412.5,7.9,290.0,23.6,497.0,164.9,14.0,696.0,0.0,0.0,0.0,469.0,3.0,0.0,12.0,163.8,CAR,14.0,696.0,5,9,6,2,500.0,500
