,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
AARON JONES,9.5,2.7,0.1,21.2,12.9,0.2,59.6,3.9,104.9,22.2,15.0,23.0,3.2,4.0,33.0,12.3,134.9,19.9,13.0,19.0,2.7,4.0,29.0,30.0,1.0,233.0,142.0,2.0,656.0,MIN,43.0,26,16,30,10,20,40,10,20,50,1,54.5,56,34,39.1,10,29.4,6,35.3,10,11.1,2,5.4
AARON SHAMPKLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.7,111.0,186.0,27.5,12.0,178.0,0.0,0.0,148.3,100.0,187.0,35.7,12.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,0.0,17,23,4,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ADAM PRENTICE,0.0,0.2,0.0,0.9,0.2,0.0,0.9,0.2,0.4,141.4,117.0,153.0,12.1,11.0,159.0,0.2,2.4,142.1,115.0,152.0,10.3,11.0,148.0,2.0,0.0,12.0,2.0,0.0,12.0,NO,3.0,27,20,31,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AJ BROWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5,121.0,193.0,19.5,12.0,160.0,0.0,0.0,143.5,129.0,194.0,14.5,12.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,7,15,2,19,13,56,19,13,69,1,10.0,11,0,0.0,0,0.0,0,0.0,15,30.6,7,41.2
AJ DILLON,6.4,1.5,0.0,14.9,11.9,0.1,40.9,1.9,95.6,65.7,44.0,74.0,6.8,7.0,82.0,7.8,117.6,66.7,46.0,73.0,6.9,7.0,85.0,22.0,0.0,223.0,178.0,2.0,613.0,GB,28.0,29,29,15,0,27,33,0,33,20,0,500.0,500,34,39.1,18,52.9,7,41.2,1,1.1,0,0.0
ALEC INGOLD,0.7,0.8,0.0,7.0,0.1,0.0,0.0,0.9,11.9,120.2,101.0,132.0,13.8,10.0,144.0,1.5,24.9,104.5,83.0,131.0,14.7,10.0,135.0,13.0,0.0,119.0,2.0,0.0,0.0,MIA,16.0,6,5,19,0,100,0,0,100,0,4,500.0,500,0,0.0,0,0.0,0,0.0,2,3.0,0,0.0
ALEXANDER MATTISON,6.5,1.9,0.2,12.0,11.3,0.0,43.8,2.8,103.2,61.9,44.0,61.0,7.5,7.0,101.0,8.3,133.2,62.6,46.0,59.0,6.7,7.0,87.0,30.0,3.0,192.0,180.0,0.0,700.0,LV,44.0,9,19,3,0,33,33,0,33,40,2,500.0,500,23,45.1,12,42.9,9,56.3,11,13.9,6,12.8
ALVIN KAMARA,12.2,5.8,0.1,35.8,13.8,0.4,53.4,6.6,158.0,19.4,14.0,19.0,3.6,4.0,31.0,17.9,233.0,12.8,6.0,13.0,4.2,3.0,23.0,75.0,1.0,466.0,180.0,5.0,694.0,NO,86.0,27,20,31,15,8,77,23,0,85,1,43.5,34,36,39.6,22,40.0,8,40.0,8,12.3,1,3.0
AMEER ABDULLAH,1.3,1.1,0.0,7.7,0.9,0.0,5.2,1.4,22.0,109.1,92.0,117.0,15.6,9.0,165.0,2.4,41.0,101.7,79.0,115.0,17.2,9.0,164.0,19.0,0.0,131.0,15.0,0.0,89.0,LV,24.0,9,19,3,0,94,0,0,94,0,4,500.0,500,0,0.0,0,0.0,0,0.0,3,4.2,2,5.7
ANTHONY MCFARLAND,0.4,0.7,0.0,3.7,0.0,0.0,0.0,0.7,1.1,168.0,164.0,192.0,3.7,12.0,174.0,1.0,3.1,165.0,151.0,190.0,8.5,12.0,173.0,2.0,0.0,11.0,0.0,0.0,0.0,MIA,2.0,6,5,19,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,2,4.8,0,0.0
ANTONIO GIBSON,5.0,3.0,0.1,24.3,4.1,0.1,16.6,3.7,79.4,50.1,39.0,49.0,4.3,6.0,63.0,8.0,127.4,45.5,37.0,44.0,5.1,6.0,57.0,48.0,2.0,389.0,65.0,1.0,265.0,NE,59.0,8,10,7,0,47,13,0,33,20,2,153.5,162,8,14.3,1,3.8,1,6.7,5,7.8,1,2.9
AUDRIC ESTIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,51.0,62.0,8.1,7.0,106.0,0.0,0.0,65.6,51.0,65.0,8.2,7.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN EKELER,9.6,3.6,0.1,31.1,12.8,0.4,44.9,5.3,134.4,37.8,23.0,38.0,4.3,5.0,50.0,13.2,185.4,33.3,18.0,33.0,4.9,5.0,48.0,51.0,1.0,436.0,179.0,5.0,628.0,WAS,74.0,16,9,28,15,23,46,15,23,46,2,91.5,98,30,42.3,24,53.3,13,56.5,9,12.3,2,4.5
AVERY WILLIAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.8,109.0,136.0,12.6,10.0,158.0,0.0,0.0,124.5,110.0,135.0,10.0,10.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,7,15,2,0,0,0,0,0,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BIJAN ROBINSON,11.1,3.4,0.2,28.6,12.6,0.2,57.4,5.1,188.3,2.6,1.0,3.0,0.8,1.0,7.0,14.5,246.3,2.6,1.0,3.0,0.7,1.0,6.0,58.0,4.0,487.0,214.0,4.0,976.0,ATL,86.0,7,15,2,6,19,63,6,19,75,1,5.5,5,23,29.1,12,33.3,2,18.2,10,18.5,6,21.4
BLAKE CORUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,33.0,40.0,5.1,6.0,62.0,0.0,0.0,43.8,35.0,43.0,4.9,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,0.0,1,2,14,0,0,0,0,0,0,2,112.0,128,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLAKE WATSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,85.0,118.0,15.5,9.0,143.0,0.0,0.0,111.1,78.0,119.0,19.4,9.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,0.0,19,18,20,0,0,0,0,0,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BOSTON SCOTT,1.0,0.3,0.0,4.3,1.7,0.0,7.2,0.5,11.8,117.9,99.0,123.0,13.9,10.0,157.0,1.3,15.8,115.4,95.0,122.0,16.0,10.0,162.0,4.0,0.0,52.0,20.0,0.0,86.0,FA,6.0,33,33,33,0,100,0,0,100,0,0,500.0,500,2,1.9,1,1.5,1,3.3,0,0.0,0,0.0
BRAELON ALLEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,40.0,56.0,7.5,7.0,90.0,0.0,0.0,58.7,44.0,57.0,8.0,7.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,22,24,16,0,0,0,0,0,0,2,171.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BRANDON BOLDEN,2.2,0.0,0.0,0.0,0.8,0.2,6.2,0.0,11.1,158.5,143.0,201.0,15.5,12.0,174.0,2.2,11.1,158.0,140.0,201.0,18.0,12.0,176.0,0.0,0.0,0.0,4.0,1.0,31.0,FA,0.0,33,33,33,0,80,20,0,80,0,0,500.0,500,2,3.1,2,5.4,0,0.0,0,0.0,0,0.0
