,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
ADAM TRAUTMAN,2.3,1.3,0.2,12.0,0.0,0.0,0.0,2.1,38.4,56.1,46.0,57.0,8.5,7.0,84.0,3.6,60.4,56.4,46,57,8.4,7,85,22.0,3.0,204.0,0.0,0.0,0.0,DEN,35.0,30,25,30,0,81,19,0,81,6,2,500.0,500,0,0.0,0,0.0,0,0.0,13,20.0,9,25.7
AJ BARNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,78.0,22.6,8.0,143.0,0.0,0.0,75.3,56,77,21.6,8,141,0.0,0.0,0.0,0.0,0.0,0.0,SEA,0.0,27,29,18,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALBERT OKWUEGBUNAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,106.2,70.0,93.0,15.8,9.0,124.0,0.0,0.0,102.7,71,93,14.0,8,118,0.0,0.0,0.0,0.0,0.0,0.0,PHI,1.0,31,30,24,0,100,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANDREW BECK,1.9,0.7,0.1,3.7,0.3,0.1,0.2,0.9,27.8,109.3,76.0,109.0,30.6,9.0,144.0,2.6,38.8,103.0,80,108,28.7,9,145,11.0,2.0,55.0,5.0,1.0,3.0,FA,13.0,33,33,33,0,79,7,0,93,0,0,500.0,500,3,3.9,3,7.0,3,13.0,4,5.9,3,8.3
ANDREW OGLETREE,2.2,0.8,0.2,12.3,0.0,0.0,0.0,1.8,26.7,78.7,62.0,88.0,13.7,8.0,100.0,3.0,35.7,80.9,65,89,13.7,8,103,9.0,2.0,147.0,0.0,0.0,0.0,IND,21.0,21,24,7,0,83,17,0,83,8,4,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,2,8.0
ANTHONY FIRKSER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.4,124.0,148.0,8.0,10.0,146.0,0.0,0.0,130.6,122,145,6.2,10,141,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,28,21,31,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ARMANI ROGERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.8,125.0,161.0,16.2,11.0,163.0,0.0,0.0,141.3,124,160,16.7,11,163,0.0,0.0,0.0,0.0,0.0,0.0,PHI,0.0,31,30,24,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN HOOPER,1.4,1.5,0.0,13.8,0.0,0.0,0.0,1.8,23.4,52.0,39.0,53.0,9.0,7.0,71.0,2.8,48.4,50.9,35,52,9.4,7,70,25.0,0.0,234.0,0.0,0.0,0.0,NE,31.0,14,20,12,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,3,4.2,1,2.9
BEN SIMS,0.5,0.3,0.1,1.3,0.0,0.0,0.0,0.4,8.1,111.0,91.0,106.0,17.4,9.0,133.0,0.8,12.1,114.7,95,110,16.6,9,135,4.0,1.0,21.0,0.0,0.0,0.0,GB,6.0,8,9,15,0,92,0,0,100,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,2.2,1,2.7
BEN SINNOTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,15.0,29.0,5.1,4.0,44.0,0.0,0.0,26.7,16,29,4.9,4,43,0.0,0.0,0.0,0.0,0.0,0.0,WAS,0.0,16,15,20,0,0,0,0,0,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BLAKE BELL,0.4,0.3,0.1,1.5,0.0,0.0,0.0,0.5,6.6,121.0,72.0,140.0,28.4,10.0,139.0,0.7,11.6,120.0,69,136,29.5,10,139,5.0,1.0,26.0,0.0,0.0,0.0,FA,9.0,33,33,33,0,92,8,0,92,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.1,1,2.1
